player_id,first_name,last_name,position,team_id,status,total_points,current_value,selected_by_percent,news,photo,image_status
281,Tim,Ream,2,10,s,5,45,0.5,Suspended until 02 Sep,82514.jpg,Downloaded
282,Harrison,Reed,3,10,a,4,50,0.8,,153366.jpg,Downloaded
283,Antonee,Robinson,2,10,a,7,45,0.7,,169528.jpg,Downloaded
284,Marek,Rodák,1,10,a,0,40,0.4,,155529.jpg,Downloaded
285,Kenny,Tete,2,10,a,6,45,0.7,,167074.jpg,Downloaded
286,Tosin,Adarabioyo,2,10,a,0,45,0.1,,109646.jpg,Downloaded
287,Carlos Vinícius,Alves Morais,4,10,a,0,49,3.1,,245824.jpg,Downloaded
288,Harry,Wilson,3,10,a,5,55,0.2,,153682.jpg,Downloaded
289,Adrián,San Miguel del Castillo,1,11,a,0,40,0.3,,60706.jpg,Downloaded
290,Trent,Alexander-Arnold,2,11,d,3,80,15.0,Knock - 75% chance of playing,169187.jpg,Downloaded
291,Alisson,Ramses Becker,1,11,a,5,55,9.4,,116535.jpg,Downloaded
292,Stefan,Bajcetic,3,11,a,0,49,0.0,,535928.jpg,Downloaded
293,Darwin,Núñez Ribeiro,4,11,a,2,74,8.9,,447203.jpg,Downloaded
294,Diogo,Teixeira da Silva,3,11,a,13,80,3.3,,194634.jpg,Downloaded
295,Harvey,Elliott,3,11,a,2,49,0.2,,444884.jpg,Downloaded
296,Fabio Henrique,Tavares,3,11,u,0,50,0.0,Permanent Transfer to Al-Ittihad,116643.jpg,Downloaded
297,Cody,Gakpo,4,11,a,4,75,5.5,,243298.jpg,Downloaded
298,Joe,Gomez,2,11,a,1,45,0.3,,171287.jpg,Downloaded
299,Jordan,Henderson,3,11,u,0,50,0.0,Permanent transfer to Al-Ettifaq,56979.jpg,Downloaded
300,Curtis,Jones,3,11,d,1,49,0.1,Ankle injury - 50% chance of playing,206915.jpg,Downloaded
301,Caoimhin,Kelleher,1,11,a,0,40,0.3,,200720.jpg,Downloaded
302,Ibrahima,Konaté,2,11,a,4,50,2.4,,204716.jpg,Downloaded
303,Luis,Díaz,3,11,a,15,77,12.8,,244731.jpg,Downloaded
304,Alexis,Mac Allister,3,11,a,-1,60,7.3,,243016.jpg,Downloaded
305,Joel,Matip,2,11,a,0,50,0.2,,60914.jpg,Downloaded
306,Nathaniel,Phillips,2,11,a,0,40,0.3,,197464.jpg,Downloaded
307,Andrew,Robertson,2,11,a,4,65,4.3,,122798.jpg,Downloaded
308,Mohamed,Salah,3,11,a,10,125,28.9,,118748.jpg,Downloaded
309,Dominik,Szoboszlai,3,11,a,7,70,4.0,,424876.jpg,Downloaded
310,Thiago,Alcántara do Nascimento,3,11,a,0,49,0.2,,61558.jpg,Downloaded
311,Konstantinos,Tsimikas,2,11,a,1,45,0.1,,214285.jpg,Downloaded
312,Sepp,van den Berg,2,11,u,0,40,0.0,Season long loan to Mainz 05,444765.jpg,Downloaded
313,Virgil,van Dijk,2,11,a,4,60,10.2,,97032.jpg,Downloaded
314,Elijah,Adebayo,4,12,a,2,50,0.9,,174310.jpg,Downloaded
315,Mads Juel,Andersen,2,12,a,0,40,0.7,,208904.jpg,Downloaded
316,Amari'i,Bell,2,12,a,0,40,7.8,,165183.jpg,Downloaded
317,Luke,Berry,3,12,a,1,49,0.1,,82738.jpg,Downloaded
318,Reece,Burke,2,12,i,0,40,0.0,Knock - Expected back 25 Aug,156658.jpg,Downloaded
319,Allan,Campbell,3,12,a,0,49,0.0,,193195.jpg,Downloaded
320,Jordan,Clark,3,12,i,0,50,0.0,Ankle injury - Unknown return date,96784.jpg,Downloaded
321,Alfie,Doughty,2,12,a,0,45,0.1,,244262.jpg,Downloaded
322,Luke,Freeman,3,12,a,0,49,0.0,,49083.jpg,Downloaded
323,Matt,Macey,1,12,a,0,40,0.6,,113534.jpg,Downloaded
324,John,McAtee,4,12,a,0,45,2.4,,422303.jpg,Downloaded
326,Carlton,Morris,4,12,a,8,55,1.4,,156700.jpg,Downloaded
327,Admiral,Muskwe,4,12,a,0,45,0.2,,174595.jpg,Downloaded
328,Chiedozie,Ogbene,4,12,a,1,50,0.1,,229164.jpg,Downloaded
330,Gabriel,Osho,2,12,i,0,45,0.0,Knee injury - Expected back 25 Aug,199056.jpg,Downloaded
332,Dion,Pereira,3,12,a,0,45,0.2,,243532.jpg,Downloaded
333,Dan,Potts,2,12,i,0,40,0.1,Ankle injury - Unknown return date,108411.jpg,Downloaded
335,James,Shea,1,12,a,0,45,0.2,,77818.jpg,Downloaded
337,Elliot,Thorpe,3,12,u,0,45,0.0,Joined Shrewsbury Town on a season-long loan - Unknown return date,232477.jpg,Downloaded
